awesom	R3CFKLIZ0I2KOB:8
code	R3CFKLIZ0I2KOB:5
doubl	R3CFKLIZ0I2KOB:0
dragon	R3CFKLIZ0I2KOB:1
five	R3CFKLIZ0I2KOB:6
game	R3CFKLIZ0I2KOB:4
neon	R3CFKLIZ0I2KOB:2
onlin	R3CFKLIZ0I2KOB:3
star	R3CFKLIZ0I2KOB:7
